fips,sex,age,pop_1997,pop_1998,pop_1999,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024
11010,1,1,97646,96146,94092.5,93544,93103,91904,90192.5,88482.5,86356,84307.5,83369,84251,84827.5,83231,81685.5,80359,78231,75964.5,74424.5,73089,72805.5,72712.5,71623.5,70612.5,69386,68001.5,66846,65988.5
11010,1,2,5450,5242.5,4989.5,4863,4606.5,4223.5,3821.5,3519.5,3229.5,2913.5,2778,2822,2811,2717.5,2646.5,2589,2465.5,2323.5,2254,2209,2137.5,2023,1871,1668,1460,1325,1245,1185
11010,1,3,5527,5499.5,5465,5519,5490.5,5266.5,5025,4817,4557.5,4229,3950,3815.5,3657,3325,3010,2849,2755.5,2635,2553.5,2487.5,2457,2445.5,2382,2296.5,2202.5,2056.5,1862,1708
11010,1,4,6386,6185,5932,5937.5,6098,6283,6430,6355,6125.5,5917,5645,5428.5,5213.5,4885,4577.5,4231.5,3866.5,3587,3265.5,2940,2783,2726.5,2646,2575,2491.5,2373,2262.5,2179.5
11010,1,5,8460,8345,7927,7459.5,7025.5,6581,6200.5,5916.5,5781,5745,5787,5941.5,6004.5,5871,5687.5,5427.5,5090.5,4756.5,4527,4270,3943,3652,3405.5,3098.5,2799,2672,2595,2483
11010,1,6,9433,8972,8357.5,8158,8074,7914,7712,7438.5,6992,6561.5,6232.5,6004,5806,5656.5,5679.5,5753,5742,5683.5,5691,5647,5599,5497.5,5251.5,4975.5,4672,4404,4187.5,4007.5
11010,1,7,13093,12677,11976,11271.5,10443.5,9725,9022.5,8499.5,8216.5,8082.5,8164,8364,8313.5,7857,7376.5,6889,6391.5,6119.5,6053.5,6078,6274,6445.5,6456,6526,6490.5,6314.5,6130,5932.5
11010,1,8,8917,8951.5,9023.5,9175,9448,9597.5,9408,9024.5,8458.5,7765,7133.5,6818,6732,6611,6557.5,6548.5,6460,6143,5777,5467,5294.5,5208,5063,5004.5,5071,5205.5,5369,5579
11010,1,9,8220,8097.5,7994.5,7999.5,7847,7598,7480.5,7475,7379.5,7406.5,7594.5,7764,7723,7269.5,6682,6121,5570.5,5203,5042.5,4928,5006.5,5167.5,5041,4820,4601.5,4365,4192,4086.5
11010,1,10,7210,7268,7362.5,7502.5,7744.5,7913,7932.5,7825,7553,7183,6914,6996.5,7140,7142.5,7223,7249.5,7040.5,6681.5,6291.5,5774.5,5296,4936.5,4681.5,4635.5,4645.5,4659.5,4687,4598.5
11010,1,11,5578,5531.5,5544,5849,6354.5,6688,6871,7091.5,7162,7198,7291,7448,7529.5,7312.5,7040.5,6783,6599.5,6474.5,6364,6446.5,6605.5,6537,6292,5993,5527,5003,4615.5,4387.5
11010,1,12,4956,4931.5,4986.5,5109.5,5051,4987.5,4995.5,5018,5261.5,5613,5866,6211,6616.5,6765.5,6888,7020,6929,6698,6493.5,6283.5,6135.5,6094,6063.5,6072,6180.5,6236,6091,5856
11010,1,13,5438,5364,5159.5,4904,4679,4456,4306.5,4309.5,4321,4280.5,4290,4404.5,4586.5,4871.5,5242.5,5500,5634.5,5821,5911,5958.5,6172,6259,6216,6179.5,6014.5,5750.5,5580,5541
11010,1,14,3835,3888,4008,4122.5,4208.5,4375.5,4464.5,4342.5,4145.5,3925,3769,3778.5,3887,3952,3912.5,3914.5,3964.5,3995.5,4226,4577.5,4826,5052.5,5277.5,5409,5506,5597,5606.5,5566.5
11010,1,15,2160,2194,2295.5,2504,2785,2966,3070.5,3212.5,3299,3359.5,3571.5,3775.5,3781,3664,3523,3421,3336,3327,3365,3289,3283,3399,3514,3743.5,4056.5,4264,4441,4655
11010,1,16,1428,1411.5,1430,1498,1545,1583.5,1651.5,1758,1914,2096,2243.5,2397.5,2569,2661,2762,2998,3155.5,3089.5,2971.5,2876.5,2787.5,2750.5,2784.5,2842,2813,2785.5,2842,2942.5
11010,1,17,960,975.5,991,990.5,984,975.5,970,997.5,1042,1069.5,1130,1223,1323.5,1475.5,1636.5,1752,1843.5,1954,2048,2117.5,2313,2483,2459.5,2368.5,2283,2227.5,2232,2284.5
11010,1,18,384,395.5,423,449,476,524,587.5,616,620,631.5,625,630.5,684,725,755.5,813,860.5,904,994,1128.5,1230,1310,1427,1517,1587.5,1713.5,1789,1769
11010,1,19,211,216.5,227.5,232,242.5,246.5,243,266.5,298,331.5,384.5,428.5,450,469,485,499.5,525.5,568.5,596,610.5,662.5,725.5,792,888.5,984.5,1049.5,1119,1227
11010,2,1,97050,95568,93568.5,92940,92198.5,90824,89182.5,87463,85487.5,83746.5,82950.5,84024.5,84826.5,83522.5,82290,81128.5,79202,77442.5,76326,75242.5,75293,75613,74979.5,74253,73381,72475.5,71655,71106
