fips,year,month,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19
11010,1997,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11010,1997,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
11010,1997,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
11010,1997,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11010,1997,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11010,1997,6,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
11010,1997,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11010,1997,8,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
11010,1997,9,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0
11010,1997,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
11010,1997,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11010,1997,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
11010,1998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11010,1998,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
11010,1998,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
11010,1998,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11010,1998,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11010,1998,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11010,1998,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11010,1998,8,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
11010,1998,9,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
11010,1998,10,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
11010,1998,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
