fips,year,month,total_deaths,sex_1,sex_2
11010,1997,1,2,1,1
11010,1997,2,4,3,1
11010,1997,3,3,1,2
11010,1997,4,2,2,0
11010,1997,5,2,1,1
11010,1997,6,4,3,1
11010,1997,7,2,2,0
11010,1997,8,3,3,0
11010,1997,9,6,5,1
11010,1997,10,4,4,0
11010,1997,11,2,1,1
11010,1997,12,3,3,0
11010,1998,1,1,1,0
11010,1998,2,3,3,0
11010,1998,3,3,2,1
11010,1998,4,2,1,1
11010,1998,5,4,4,0
11010,1998,6,1,1,0
11010,1998,7,2,2,0
11010,1998,8,4,3,1
11010,1998,9,3,3,0
11010,1998,10,4,2,2
11010,1998,11,2,2,0
11010,1999,1,1,1,0
11010,1999,2,2,2,0
11010,1999,3,4,3,1
11010,1999,4,1,1,0
11010,1999,5,2,1,1
11010,1999,7,4,2,2
11010,1999,8,4,2,2
11010,1999,9,4,1,3
11010,1999,10,1,1,0
11010,1999,11,3,3,0
11010,1999,12,3,3,0
11010,2000,1,1,0,1
11010,2000,2,1,0,1
11010,2000,3,1,1,0
11010,2000,4,2,2,0
11010,2000,5,4,3,1
11010,2000,6,2,0,2
11010,2000,7,1,1,0
11010,2000,10,4,3,1
11010,2000,11,2,1,1
11010,2000,12,2,1,1
11010,2001,1,2,0,2
11010,2001,2,1,0,1
11010,2001,5,1,0,1
11010,2001,7,5,4,1
11010,2001,8,2,2,0
11010,2001,10,6,4,2
11010,2001,11,3,3,0
11010,2001,12,4,4,0
11010,2002,1,5,5,0
11010,2002,2,4,2,2
11010,2002,3,1,0,1
11010,2002,4,2,2,0
11010,2002,5,1,0,1
11010,2002,6,4,3,1
11010,2002,8,3,1,2
11010,2002,9,2,1,1
11010,2002,10,2,1,1
11010,2002,11,2,2,0
11010,2002,12,2,1,1
11010,2003,1,1,1,0
11010,2003,2,2,2,0
11010,2003,3,4,3,1
11010,2003,4,2,1,1
11010,2003,5,2,2,0
11010,2003,6,3,1,2
11010,2003,7,3,0,3
11010,2003,8,6,2,4
11010,2003,9,4,1,3
11010,2003,10,3,2,1
11010,2003,11,3,2,1
11010,2003,12,1,1,0
11010,2004,1,2,1,1
11010,2004,2,2,2,0
11010,2004,3,3,2,1
11010,2004,4,1,1,0
11010,2004,5,1,1,0
11010,2004,6,3,1,2
11010,2004,7,2,2,0
11010,2004,8,1,0,1
11010,2004,9,1,1,0
11010,2004,10,1,1,0
11010,2004,11,2,0,2
11010,2004,12,4,2,2
11010,2005,1,6,5,1
11010,2005,2,2,2,0
11010,2005,3,7,6,1
11010,2005,4,3,2,1
11010,2005,5,6,5,1
11010,2005,6,5,3,2
11010,2005,7,5,4,1
11010,2005,8,6,5,1
11010,2005,9,1,1,0
11010,2005,10,5,4,1
11010,2005,11,3,3,0
11010,2005,12,2,1,1
11010,2006,1,3,1,2
11010,2006,3,7,3,4
11010,2006,4,3,0,3
11010,2006,5,2,2,0
11010,2006,6,1,1,0
11010,2006,7,1,1,0
11010,2006,8,3,1,2
11010,2006,9,5,5,0
11010,2006,10,3,1,2
11010,2006,11,2,1,1
11010,2006,12,3,1,2
11010,2007,1,3,1,2
11010,2007,2,5,2,3
11010,2007,3,1,0,1
11010,2007,4,4,3,1
11010,2007,5,1,0,1
11010,2007,6,2,1,1
11010,2007,7,2,1,1
11010,2007,8,1,1,0
11010,2007,10,2,2,0
11010,2007,11,3,2,1
11010,2007,12,4,1,3
11010,2008,1,1,1,0
11010,2008,2,7,5,2
11010,2008,3,1,0,1
11010,2008,4,5,4,1
11010,2008,5,1,1,0
11010,2008,6,2,2,0
11010,2008,7,1,1,0
11010,2008,8,3,2,1
11010,2008,9,2,2,0
11010,2008,10,9,6,3
11010,2008,11,2,2,0
11010,2008,12,1,1,0
11010,2009,1,1,1,0
11010,2009,2,6,2,4
11010,2009,3,2,2,0
11010,2009,4,6,5,1
11010,2009,5,5,4,1
11010,2009,6,2,1,1
11010,2009,7,4,2,2
11010,2009,8,6,2,4
11010,2009,9,4,2,2
11010,2009,10,1,0,1
11010,2009,11,4,2,2
11010,2009,12,3,1,2
