age_code,age_label,age_mid,total_deaths,total_pop,baseline_rate,mean_rate_cell
3,5-9,7,50,879719738,0.005683628301176073,0.0071329678063242925
4,10-14,12,1348,941299677.5,0.1432062532497787,0.14819311917838718
5,15-19,17,7375,1028462054,0.7170901416650614,0.8581875781752621
6,20-24,22,14724,1117925490.5,1.3170824106904109,1.533869318942971
7,25-29,27,21432,1208349725.5,1.7736586972891235,2.2047768999430697
8,30-34,32,24608,1259634746,1.9535821854822033,2.601497010760299
9,35-39,37,28249,1320218276.5,2.1397219310499374,2.866312460895018
10,40-44,42,31214,1337219439.5,2.334246652267576,3.099911764265999
11,45-49,47,32862,1260513926,2.607031887722278,3.2869018383700452
12,50-54,52,31958,1139081043.5,2.805594929558671,3.322508355865716
13,55-59,57,28576,984133624,2.903670731607886,3.386993309334323
14,60-64,62,25157,821859895.5,3.0609840117207665,3.561724049787478
15,65-69,67,22012,634448948.5,3.469467488604404,3.9901869058573958
16,70-74,72,21163,473327618,4.4711103251110105,4.9313737791335095
17,75-79,77,19129,338776602,5.646493850835661,6.321596360060584
18,80-84,82,14450,210745228.5,6.856620243717642,7.860707502155327
19,85+,87,8017,141200824.5,5.677728886066101,6.4144272372265805
